Date,Open,High,Low,Close
2020/4/23,41.299999,42.470001,39.060001,41.380001
2020/4/24,38.799999,40.169998,35.599998,35.93
2020/4/27,36.290001,36.439999,32.509998,33.290001
2020/4/28,33.209999,35.389999,30.540001,33.57
2020/4/29,32.48,33.189999,30.709999,31.23
2020/4/30,30.99,35.939999,30.93,34.150002
2020/5/1,38.169998,39.57,36.59,37.189999
2020/5/4,39.130001,40.32,35.529999,35.970001
2020/5/5,34.82,36.220001,31.950001,33.610001
2020/5/6,32.689999,35.689999,31.68,34.119999
2020/5/7,32.119999,32.279999,30.370001,31.440001
2020/5/8,30.139999,30.389999,27.889999,27.98
2020/5/11,28.459999,31.459999,26.969999,27.57
2020/5/12,28.469999,33.040001,26,33.040001
2020/5/13,32.740002,37.419998,30.77,35.279999
2020/5/14,35.16,39.279999,32.330002,32.610001
2020/5/15,32.5,35.130001,31.040001,31.889999
2020/5/18,30.709999,31.08,28.35,29.299999
2020/5/19,28.73,30.74,28.370001,30.530001
2020/5/20,29.52,29.83,27.83,27.99
2020/5/21,28.969999,30.200001,27.67,29.530001
2020/5/22,31.360001,31.549999,28.030001,28.16
2020/5/26,27.719999,28.58,27.18,28.01
2020/5/27,27.620001,30.530001,25.92,27.620001
2020/5/28,27.82,29.889999,27.43,28.59
2020/5/29,29.299999,30.16,27.290001,27.51
2020/6/1,28.940001,30.6,28.110001,28.23
2020/6/2,28.4,28.52,26.66,26.84
2020/6/3,26.75,26.98,25.040001,25.66
2020/6/4,26.23,26.43,24.379999,25.809999
2020/6/5,24.790001,25.09,23.540001,24.52
2020/6/8,25.559999,25.98,24.65,25.809999
2020/6/9,25.93,27.700001,25.709999,27.57
2020/6/10,26.73,29.01,26.059999,27.57
2020/6/11,30.450001,42.580002,29.49,40.790001
2020/6/12,37.68,44.16,34.970001,36.09
2020/6/15,44.09,44.439999,34.279999,34.400002
2020/6/16,34.279999,37.450001,31.73,33.669998
2020/6/17,33.279999,35.169998,32.25,33.470001
2020/6/18,33.830002,36.25,32.240002,32.939999
2020/6/19,32.07,35.119999,30.4,35.119999
2020/6/22,35.220001,35.389999,31.639999,31.77
2020/6/23,31.709999,31.709999,29.26,31.370001
2020/6/24,31.049999,37.119999,30.950001,33.84
2020/6/25,36.59,36.93,31.59,32.220001
2020/6/26,33.009998,36.25,31.040001,34.73
2020/6/29,35.049999,36.310001,31.780001,31.780001
2020/6/30,32.540001,32.939999,29.559999,30.43
2020/7/1,30.959999,31.76,28.200001,28.620001
2020/7/2,28.33,28.440001,25.9,27.68
2020/7/6,27.76,28.33,24.92,27.940001
2020/7/7,28.77,29.629999,27.25,29.43
2020/7/8,28.950001,30.200001,27.24,28.08
2020/7/9,28.18,31.48,26.110001,29.26
2020/7/10,30.860001,30.91,27.129999,27.290001
2020/7/13,27.85,32.450001,26.870001,32.189999
2020/7/14,31.139999,33.669998,29.209999,29.52
2020/7/15,29.15,30.09,27.17,27.76
2020/7/16,28.41,29.290001,26.98,28
2020/7/17,27.15,27.540001,25.41,25.68
2020/7/20,26.940001,27.08,24.35,24.459999
2020/7/21,24.08,25.65,23.610001,24.84
2020/7/22,24.559999,26.26,24.129999,24.32
2020/7/23,23.969999,26.950001,23.6,26.08
2020/7/24,27.959999,28.58,25.530001,25.84
